,0
0,1281.3994801989145
1,1567.3601570660394
2,1603.1501182951226
3,1682.0842822157376
4,1609.6638337354561
5,1461.3280402202026
6,1429.6399203018332
7,1415.0491624723886
8,1489.4075871509049
9,1579.8447456015222
10,1622.0841104168198
11,1711.521211983083
12,1723.2193169782347
13,1794.0927190724738
14,1853.193664366658
15,1797.4653024300856
16,1717.7317050388397
17,1745.52530826447
18,1647.2491425255237
19,1651.1170022276026
20,1601.3701362532047
21,1623.3847096723844
22,1630.6531599750842
23,1615.3705419778466
24,1622.2455294608162
25,1552.2563756979384
26,1461.8895224725095
27,1411.6585432140773
28,1381.3979691303691
29,1313.903883913056
30,1280.416612389752
31,1283.6000387502172
32,1263.9707753860237
33,1274.8513203332916
34,1257.2892662458598
35,1265.9795734044963
36,1264.6341457522885
37,1285.9060430061006
38,1287.472099800818
39,1290.4594169894274
40,1305.8200812896137
41,1311.6328824626546
42,1329.8084996813534
43,1343.446105196027
44,1337.247808488486
45,1337.0155834606007
46,1339.875363672139
47,1338.5896738430993
48,1341.1114872613614
49,1332.4184042993252
50,1328.781510083079
51,1316.5803149307342
52,1311.2801719325053
53,1302.704715216451
54,1307.1994496431228
55,1324.0596526355478
56,1335.0618951499262
57,1339.0554304688185
58,1342.5870703401395
59,1340.409628258095
60,1343.1967943814252
61,1354.25649419529
62,1359.4185325314766
63,1361.1621663781525
64,1364.9675951877553
65,1362.534767343424
66,1365.058569244013
67,1364.777923587764
68,1369.9849042663798
69,1369.954469869763
70,1378.3794940188216
71,1394.315749420601
72,1403.6203910099978
73,1398.097394713132
74,1386.3037771796708
75,1391.5015341279332
76,1398.502340927564
77,1388.6873690168718
78,1391.2195103298948
79,1388.6433416135187
80,1396.924807832903
81,1399.0496508903627
82,1394.11239019846
83,1391.2875552375726
84,1377.3446193385898
85,1380.1844992476485
86,1352.316027021945
87,1351.3594473920236
88,1350.820388547656
89,1349.9694961764121
90,1353.565526915299
91,1353.0056286844174
92,1359.4640487392483
93,1365.524972432691
94,1373.3584216241168
95,1381.9086586818314
96,1387.4639631072796
97,1395.5360207499803
98,1385.3092641105
99,1379.7489135228802
100,1387.899106286393
101,1395.1901928602836
102,1395.3331127124306
103,1398.2188466748573
104,1399.8094961219026
105,1401.851870025262
106,1401.996987553621
107,1401.5970470980742
108,1398.382207229549
109,1399.2939915570507
110,1410.5246250918226
111,1419.188724825753
112,1423.241494661489
113,1424.018790745015
114,1428.560271323798
115,1436.4188666158188
116,1436.3577467018197
117,1434.781509207467
118,1428.5801357902808
119,1428.9714499590984
120,1431.5543847504614
121,1435.345745433397
122,1441.3700493378078
123,1450.1072215311342
124,1448.0176666417676
125,1452.1471505533486
126,1455.5101781078433
127,1458.7160639864119
128,1460.0555633968108
129,1464.5825163287957
130,1465.2084572369854
131,1468.716437011247
132,1473.331356183264
133,1481.9211450232185
134,1483.8833963741004
135,1489.759892471472
136,1499.634589403372
137,1507.5630591525417
138,1505.5830549552195
139,1514.612012386221
140,1524.5595750245625
141,1523.5749965279206
142,1522.6539883119056
143,1525.975086503211
144,1528.6921576233922
145,1530.2709779711454
146,1535.9133423654557
147,1539.468592442746
148,1537.5652039993936
149,1538.8914028711015
150,1546.700540131732
151,1549.8188161818953
152,1549.9854235840762
153,1554.1227843144545
154,1556.5101260944568
155,1557.7002631638834
156,1559.243394316662
157,1559.1632460703509
158,1563.3133580018384
159,1566.8107851987504
160,1568.0754321756724
161,1564.0098545402236
162,1561.672242902171
163,1553.590943654284
164,1555.036011464323
165,1554.7391309164507
166,1547.7438407590867
167,1542.6612005580864
168,1541.441371236862
169,1536.155107337983
170,1531.3847052649053
171,1526.5252541451025
172,1526.1504667834704
173,1521.7579028862972
174,1516.7100513068087
175,1509.8774095732015
176,1502.5050534163422
177,1500.6274295962667
178,1498.3942017909847
179,1497.8895548896216
180,1493.7406830082155
181,1491.1819346531975
182,1486.3483931059163
183,1481.520853586966
184,1480.7302779836195
185,1481.0338159032497
186,1485.9851250498175
187,1485.0163702832338
188,1488.7926263462414
189,1487.7740811785502
190,1489.166839137172
191,1488.9867770301084
