,0
0,4.216561008370777
1,4.735294237375864
2,5.365555147052067
3,5.914506722651238
4,6.039601219563506
5,5.965178098980229
6,6.131564342813468
7,6.220839496044148
8,6.558591539212734
9,6.745186269577323
10,6.964930532656683
11,7.0137501510688285
12,6.939116927920452
13,7.022873936912655
14,7.216709620267174
15,6.876015640370073
16,6.761430873544196
17,6.756964106918537
18,6.435164449168895
19,6.424712163831007
20,6.3465217151413995
21,6.177345590514962
22,6.149143280481726
23,6.062108468743503
24,6.050283737525928
25,5.900277392660874
26,5.718591543300304
27,5.622024601584541
28,5.543323378463223
29,5.389459423111624
30,5.353015949127604
31,5.372101686896563
32,5.324870553191137
33,5.35442441756573
34,5.369183689232817
35,5.396797538490979
36,5.390496909412927
37,5.391530909723003
38,5.406304765859131
39,5.455373902887492
40,5.478432512409315
41,5.514846727803194
42,5.478344988560061
43,5.530442188748757
44,5.540024461838043
45,5.516903859759443
46,5.54124504380756
47,5.521669667606952
48,5.522295870672804
49,5.487182250907761
50,5.487170438884781
51,5.477763750173832
52,5.525101409332873
53,5.513101870669452
54,5.498743899199034
55,5.529058747101274
56,5.5484539531396795
57,5.57626515047206
58,5.598046012147557
59,5.647877062057955
60,5.644680850465162
61,5.705833449680323
62,5.740478605328325
63,5.748493528392158
64,5.7907133144513105
65,5.801565679844232
66,5.819834115564484
67,5.840373621769083
68,5.873865778079571
69,5.909757271051285
70,5.936749494827506
71,5.971423432976725
72,6.022970548608324
73,6.0333724951491385
74,6.044421982680877
75,6.061460817834155
76,6.07652364924699
77,6.066562070533024
78,6.093025407005174
79,6.09155294590975
80,6.107205309989259
81,6.11253454752464
82,6.063508111940857
83,6.054282415066437
84,6.051694980329452
85,6.034467459404858
86,5.979222568900659
87,5.955428674248701
88,5.940074623303662
89,5.932039258396204
90,5.952797482808986
91,5.951652104954729
92,5.95284824715399
93,5.95250267807296
94,5.982020689503382
95,5.981235557937005
96,5.974088889593067
97,5.968626220585607
98,5.95750156663689
99,5.959935325263378
100,5.981819484348203
101,5.9776566189272735
102,5.995035315751041
103,6.003997729454634
104,6.006117799872262
105,6.022809556939384
106,6.025295576340254
107,6.039879589688589
108,6.038827854506063
109,6.0363306528316825
110,6.056203533808997
111,6.075848731336055
112,6.078364283961686
113,6.079230110817951
114,6.088042618284156
115,6.077500782457145
116,6.082476814280412
117,6.107297993042104
118,6.127572237560679
119,6.161225373536056
120,6.177091419048734
121,6.199315323703699
122,6.240638052142509
123,6.258252795098245
124,6.250233476514192
125,6.285647581693496
126,6.320398089165874
127,6.342225482118853
128,6.323824582533962
129,6.3325086192700315
130,6.327260140277346
131,6.318676081302864
132,6.3049051629138955
133,6.312227640269949
134,6.309547415671241
135,6.29813660307156
136,6.290098260362542
137,6.272301198051187
138,6.265921673745034
139,6.262580312871598
140,6.238095655379059
141,6.233984292896746
142,6.20652577329305
143,6.1873700703352315
144,6.178047374508856
145,6.168116494245685
146,6.175526139471435
147,6.177507117417618
148,6.1705894202879
149,6.170929796447329
150,6.175369372962696
151,6.168798878668059
152,6.155466002414992
153,6.148503807087629
154,6.155857760037357
155,6.1539585092443865
156,6.1692791061917385
157,6.171569397427511
158,6.1710220132039435
159,6.1735621052671386
160,6.185916103607179
161,6.158913788244438
162,6.144818418986736
163,6.119799847056075
164,6.089611222055925
165,6.061970565318505
166,6.024519849316996
167,5.9933956536953
168,5.979071015095081
169,5.967710458594335
170,5.943090135039916
171,5.92931603185821
172,5.9143411089105875
173,5.886481387971681
174,5.86523041358257
175,5.85173325491442
176,5.831686754255179
177,5.810672632002864
178,5.795005736891034
179,5.786435034027077
180,5.768001920987957
181,5.750548776983948
182,5.736565854040591
183,5.735551517503299
184,5.727510296573617
185,5.729276403400204
186,5.733785036144708
187,5.732519305005582
188,5.7482322055855795
189,5.748376557727696
190,5.766640173845418
191,5.785143509738607
192,5.803020614160147
193,5.814806164948091
194,5.8373783747268675
195,5.851374128083122
196,5.870228569066626
197,5.885114430166203
198,5.887782737718165
199,5.89163418233395
200,5.8844625746136705
201,5.900487369754735
202,5.909245242995874
203,5.907243583392107
204,5.91879124740604
205,5.922776441711732
206,5.921018093273861
207,5.9298857194506125
208,5.932608340053641
209,5.938437812486213
210,5.946345583577861
211,5.952383828595332
212,5.962031403778976
213,5.963491495536133
214,5.966238113492134
215,5.980891909944865
216,5.996339837254889
217,6.010218335272249
218,6.010211244599986
219,6.007439983896747
220,6.000209693480652
221,5.998163164703582
222,5.989662514226921
223,5.97999865062074
224,5.975200028739139
225,5.994951849086282
226,5.9998506051551
227,6.0053462913008175
228,6.010902166145657
229,6.0066858455181595
230,6.02110972492634
231,6.009747936202804
232,5.9943137501339745
233,5.9787373872100265
234,5.955102139879161
235,5.948439198747035
236,5.936886769207889
237,5.937664773846673
238,5.923998187207288
239,5.913075116651224
240,5.915745981627253
241,5.917410661957986
242,5.913167469049344
243,5.90195708305724
244,5.898588832974834
245,5.887434379384502
246,5.876771277865703
247,5.869709502517707
248,5.866009478873274
249,5.8692601853775885
250,5.86120546730736
251,5.857078412721038
252,5.848048253853748
253,5.842206379085685
254,5.831926618379721
255,5.814979314712611
256,5.80384679389182
257,5.795248033747916
258,5.793529181959099
259,5.7854945345009865
260,5.779740988856724
261,5.774297073120196
262,5.768592724372561
263,5.744510506207646
264,5.74350400228961
265,5.7404978847393116
266,5.7342281336367575
267,5.742546499452274
268,5.741295783328077
269,5.742584700044409
270,5.748990883340916
271,5.7521834145144615
272,5.752833652828198
273,5.7547191209293524
274,5.761317683082679
275,5.767575719653195
276,5.7823073411049295
277,5.791597270667988
278,5.8017247707560635
279,5.804533992384834
280,5.815367691268252
281,5.820207208236231
282,5.835161944103412
283,5.843398679945597
284,5.852868411466452
285,5.866159495675155
286,5.865641876732725
287,5.871971929946735
288,5.8642203710720775
