,0
0,4.394309293837675
1,4.970577162154921
2,5.549660825478306
3,6.19030649535197
4,6.311943216340035
5,6.243663097346307
6,6.408103773545537
7,6.498015473920069
8,6.868891952680121
9,7.068914665074158
10,7.305420077098264
11,7.327822294804362
12,7.253059206913777
13,7.35501478506265
14,7.5632239634437095
15,7.2137353727287765
16,7.086165863786527
17,7.073218523334955
18,6.739171606354954
19,6.727421261288088
20,6.649834673733513
21,6.4757809762461305
22,6.461890241168629
23,6.363436620984995
24,6.3561507025386
25,6.1836896376883805
26,5.978328530925087
27,5.868628074850075
28,5.790864197814487
29,5.62900452641237
30,5.595322920599584
31,5.611825003580607
32,5.566158377407123
33,5.598766772985714
34,5.616605502242015
35,5.646257983669172
36,5.641307757999402
37,5.645448884324401
38,5.656261801607823
39,5.708901722029024
40,5.726416707417737
41,5.764342679470277
42,5.722449108100057
43,5.7730451832793035
44,5.785384910769033
45,5.765227247017066
46,5.792823761328734
47,5.774973880799303
48,5.774006556207156
49,5.7392715542997275
50,5.739457100671757
51,5.73002206073303
52,5.776915177893613
53,5.757792878862884
54,5.745843733319756
55,5.776684684638913
56,5.797050973425222
57,5.822851639927855
58,5.845111530345857
59,5.895263242728599
60,5.890208175908644
61,5.954167737551569
62,5.990063129151398
63,5.997966268231067
64,6.045002468428332
65,6.053488250420638
66,6.076223393667665
67,6.098316760694899
68,6.133397478703317
69,6.175433642527365
70,6.200415369975621
71,6.23815767219069
72,6.293513744031403
73,6.3045278187325655
74,6.3156881317642855
75,6.333968894635199
76,6.349302432465364
77,6.337871422389523
78,6.366065773390923
79,6.362129024593077
80,6.377526234439644
81,6.3823923439610235
82,6.334191066271766
83,6.327659765877482
84,6.326553870027425
85,6.309359769804569
86,6.251759401222453
87,6.227003871776348
88,6.2114603561347375
89,6.205974884703613
90,6.225497320624794
91,6.22538671457612
92,6.229319795720362
93,6.231213259823204
94,6.26093340781309
95,6.260579532678803
96,6.252734899785592
97,6.246249076613677
98,6.232737689599017
99,6.235912165195643
100,6.2586477472341935
101,6.254974572432155
102,6.274223024921363
103,6.283779708672249
104,6.287713154649991
105,6.307490522404828
106,6.308423605912211
107,6.322834395846717
108,6.322015440285139
109,6.318875968499348
110,6.3398277801508005
111,6.360253538325002
112,6.360746424999591
113,6.360915620801681
114,6.371220589989838
115,6.358104143630608
116,6.362925899671487
117,6.388066860319725
118,6.408148885137189
119,6.444077149397878
120,6.461501127541161
121,6.482700239625338
122,6.524291364873021
123,6.541933561453912
124,6.533450360305907
125,6.569883778814826
126,6.604946855349454
127,6.627629572538231
128,6.607818494738692
129,6.616917991545265
130,6.611139962257006
131,6.600867877447435
132,6.58603293953381
133,6.594756568904304
134,6.592095202907805
135,6.58086892077187
136,6.573440668021109
137,6.5570269204601
138,6.551295078141418
139,6.548426322273566
140,6.523937161649336
141,6.5167201731473305
142,6.488951207340533
143,6.470024951765616
144,6.462218304820206
145,6.452811143312125
146,6.461684019439049
147,6.462938737603752
148,6.4571210336112
149,6.456208036056534
150,6.460138520886099
151,6.452831114336091
152,6.436778569179626
153,6.428527762006749
154,6.434654436475533
155,6.43190852775273
156,6.448060943253784
157,6.449841617191905
158,6.448420074262554
159,6.451287773800848
160,6.463463317245232
161,6.4345345970364045
162,6.42271714182788
163,6.396711391650389
164,6.364009647985264
165,6.333662638814101
166,6.294138385650225
167,6.262304247839588
168,6.247528555118871
169,6.234614529348029
170,6.207980329970177
171,6.19295082439203
172,6.175858586129957
173,6.146910250309427
174,6.124156732441664
175,6.111332094941999
176,6.090121792031431
177,6.06710840298921
178,6.048951942182428
179,6.039368215923074
180,6.020855905551833
181,6.002857203306969
182,5.988003090453265
183,5.985233703765013
184,5.976078810609218
185,5.979718407255396
186,5.984526420665209
187,5.982185943394702
188,5.998609386141605
189,5.999611553968988
190,6.017726591987022
191,6.035868716444951
192,6.055296848038818
193,6.066615453700177
194,6.088877933351405
195,6.104695858117913
196,6.124999844665651
197,6.138731745380207
198,6.141848621010421
199,6.144997833570066
200,6.137915491804118
201,6.155414146549486
202,6.1644748063953925
203,6.163153259701363
204,6.1757100192803005
205,6.179330936679046
206,6.177108234975683
207,6.18778637488064
208,6.1904705787832635
209,6.197006434039071
210,6.204385665383874
211,6.210391525610079
212,6.219055770038232
213,6.221178820704078
214,6.225009239998894
215,6.239021659727568
216,6.255781123394645
217,6.271051881047679
218,6.270858025838897
219,6.267294484272207
220,6.258710056269918
221,6.255691330925673
222,6.246439354468164
223,6.237357768063313
224,6.233033429263462
225,6.25295577196525
226,6.258723749890492
227,6.265106615297754
228,6.270563271583062
229,6.26609727371385
230,6.281225566681142
231,6.269346525304931
232,6.253064217431484
233,6.237364456189569
234,6.214910381801473
235,6.20785850569312
236,6.195569699817075
237,6.1964205572416375
238,6.182094808631181
239,6.170989781723524
240,6.173647035383636
241,6.175783992156785
242,6.171018153001695
243,6.159311284599049
244,6.157080055542564
245,6.144938207907881
246,6.133464809906205
247,6.125346462000056
248,6.121775942393057
249,6.124844359229094
250,6.115966504014497
251,6.112225603649553
252,6.101758252739589
253,6.097046619061278
254,6.086561799472027
255,6.068722897268607
256,6.058256194723356
257,6.049557572511983
258,6.048125453800367
259,6.040378041314598
260,6.035469748844459
261,6.029636889584622
262,6.02485744882641
263,6.004271828574961
264,6.003839108199331
265,6.000665699842288
266,5.994147788242722
267,6.003324139371896
268,6.001926367809537
269,6.003216885420023
270,6.009796080558226
271,6.0135613473156555
272,6.014117124911106
273,6.016539750570539
274,6.023413551976121
275,6.029077402663617
276,6.044846763461417
277,6.054434549776716
278,6.064560912986464
279,6.067215858859493
280,6.078916636245767
281,6.0844734028360055
282,6.100173361856425
283,6.108389121324864
284,6.118603259753223
285,6.133324936210429
286,6.133092798882777
287,6.139204956232984
